 0.007 - 8542.12699983, 8542.54947134
 0.012 - 8542.14262417, 8542.48411075
 0.017 - 8542.1545466,  8542.4547403
 0.022 - 8542.16522384, 8542.42860492
 0.027 - 8542.17650044, 8542.39977829
-0.007 - 8541.76566575, 8542.07338115
-0.012 - 8541.80502187, 8542.06360175
-0.017 - 8541.82866107, 8542.05481316
-0.022 - 8541.85911343, 8542.04624215
-0.027 - 8541.88270547, 8542.03748817

lambda = 

8541.76566575,8542.54947134
8541.80502187,8542.48411075
8541.82866107,8542.4547403
8541.85911343,8542.42860492
8541.88270547,8542.39977829

lambda'
8542.03748817, 8542.17650044
8542.04624215, 8542.16522384
8542.05481316, 8542.1545466
8542.06360175, 8542.14262417
8542.07338115, 8542.12699983




